Date,Startup Name,SubVertical,City,Amount,is_funded,Year,Month,Industry Vertical Cleaned,InvestmentType_Cleaned,Investors_Cleaned
2017-01-05,Yostra,Healthcare Technology Solutions,bengaluru,,0,2017,1,technology,Private Equity,"Marico Innovation Foundation (Mif), Villgro"
2017-01-06,Leap India,Supply Chain Solutions Provider,mumbai,13000000.0,1,2017,1,logistics,Private Equity,"India Nivesh Growth Fund, Sixth Sense, Tci Ventures"
2017-01-07,FreeCharge,Mobile Wallet,mumbai,57000000.0,1,2017,1,consumer services,Private Equity,Jasper Infotech Pvt Ltd
2017-01-09,TicketNew,Movie Ticket Booking platform,chennai,35000000.0,1,2017,1,consumer services,Private Equity,Alibaba Pictures
2017-01-10,Intelligence Node,SAAS Based Retail Analytics Solutions,mumbai,800000.0,1,2017,1,technology,Private Equity,Blacksoil Capital Pvt Ltd
2017-01-10,Securens,e-surveillance services provider,mumbai,5000000.0,1,2017,1,technology,Private Equity,"Mayfield India, Trifecta Capital"
2017-01-10,Loan Frame,Small Business Loans Marketplace platform,gurgaon,2250000.0,1,2017,1,consumer services,Private Equity,"Vedanta Capital, William Campbell, Toos N Daruvala"
2017-01-10,DriveSkool,online marketplace for driving schools,bengaluru,,0,2017,1,consumer services,Seed,Aavya Ventures
2017-01-10,Medinfi,Doctor & Clinic Discovery portal,bengaluru,100000.0,1,2017,1,consumer services,Seed,"Vinod Martin, Evan Lim, Kanchan Ghoshal, Ram Kumar Kakani"
2017-01-10,LensKart,Online eyewear retailer,bengaluru,3500000.0,1,2017,1,e-commerce,Private Equity,Ronnie Screwvala
2017-01-11,InstaOffice,CoWorking Spaces booking platform,gurgaon,,0,2017,1,consumer services,Seed,"Zishaan Hayath, Karan Chellani, Mohit Satyan"
2017-01-12,Hansel.io,Real-time Mobile App Management Platform,bengaluru,1350000.0,1,2017,1,consumer services,Private Equity,"Idg Ventures, Endiya Partners"
2017-01-12,Square Yards,Property Search Aggregator platform,gurgaon,10000000.0,1,2017,1,consumer services,Private Equity,"Lohia Group, Andre Hoffman"
